date, pm25
2020/10/26, 140
2020/10/27, 123
2020/10/28, 76
2020/10/29, 137
2020/10/30, 163
2020/10/31, 159
2020/11/1, 149
2020/11/2, 137
2020/11/3, 155
2020/11/4, 178
2020/11/5, 171
2020/11/6, 156
2020/11/7, 104
2020/11/8, 137
2020/11/9, 77
2020/11/10, 120
2020/11/11, 163
2020/11/12, 85
2020/11/13, 64
2020/11/14, 80
2020/11/15, 125
2020/11/16, 122
2020/11/17, 79
2020/11/18, 84
2020/11/19, 102
2020/11/20, 143
2020/11/21, 157
2020/11/22, 123
2020/11/23, 137
2020/11/24, 163
2020/11/25, 169
2020/11/26, 152
2020/11/27, 102
2020/11/28, 115
2020/11/29, 110
2020/11/30, 143
2020/12/1, 161
2020/12/2, 150
2020/12/3, 163
2020/12/4, 129
2020/12/5, 140
2020/12/6, 146
2020/12/7, 143
2020/12/8, 156
2020/12/9, 155
2020/12/10, 159
2020/12/11, 174
2020/12/12, 159
2020/12/13, 147
2020/12/14, 138
2020/12/15, 136
2020/12/16, 135
2020/12/17, 145
2020/12/18, 120
2020/12/19, 129
2020/12/20, 93
2020/12/21, 106
2020/12/22, 140
2020/12/23, 130
2020/12/24, 148
2020/12/25, 118
2020/12/26, 82
2020/12/27, 101
2020/12/28, 149
2020/12/29, 145
2020/12/30, 171
2020/12/31, 170
2021/1/1, 176
2021/1/2, 176
2021/1/3, 180
2020/7/1, 85
2020/7/2, 93
2020/7/3, 55
2020/7/4, 68
2020/7/5, 80
2020/7/6, 61
2020/7/7, 83
2020/7/8, 107
2020/7/9, 98
2020/7/10, 66
2020/7/11, 78
2020/7/12, 87
2020/7/13, 86
2020/7/14, 72
2020/7/15, 76
2020/7/16, 79
2020/7/17, 71
2020/7/18, 70
2020/7/23, 85
2020/7/24, 80
2020/7/25, 71
2020/7/26, 76
2020/7/27, 70
2020/7/28, 86
2020/7/29, 69
2020/7/30, 72
2020/7/31, 81
2020/8/1, 82
2020/8/2, 69
2020/8/3, 81
2020/8/4, 82
2020/8/5, 77
2020/8/6, 86
2020/8/7, 92
2020/8/8, 83
2020/8/9, 80
2020/8/10, 81
2020/8/11, 92
2020/8/12, 87
2020/8/13, 91
2020/8/14, 78
2020/8/15, 78
2020/8/16, 94
2020/8/17, 93
2020/8/18, 69
2020/8/19, 80
2020/8/20, 76
2020/8/21, 76
2020/8/22, 79
2020/8/23, 88
2020/8/24, 126
2020/8/25, 186
2020/8/26, 101
2020/8/27, 100
2020/8/28, 92
2020/8/29, 101
2020/8/30, 101
2020/8/31, 93
2020/9/1, 79
2020/9/2, 78
2020/9/3, 76
2020/9/4, 81
2020/9/5, 86
2020/9/6, 66
2020/9/7, 84
2020/9/8, 102
2020/9/9, 116
2020/9/10, 118
2020/9/11, 108
2020/9/12, 93
2020/9/13, 92
2020/9/14, 105
2020/9/15, 86
2020/9/16, 91
2020/9/17, 93
2020/9/18, 72
2020/9/20, 93
2020/9/21, 91
2020/9/22, 87
2020/9/23, 92
2020/9/24, 85
2020/9/25, 103
2020/9/26, 129
2020/9/27, 131
2020/9/28, 134
2020/9/29, 130
2020/9/30, 89
2020/4/1, 60
2020/4/2, 60
2020/4/3, 73
2020/4/4, 68
2020/4/5, 73
2020/4/6, 88
2020/4/7, 80
2020/4/8, 60
2020/4/9, 63
2020/4/10, 119
2020/4/11, 66
2020/4/12, 53
